,,,,,,
Unique ID,Title,Source,Owner,Status,Category,Proposed URL
1,Hair Styling Industry,http://en.wikipedia.org/wiki/Beauty_salon,Stephanie,Needs to be Written,About Hairstyling,http://www.pinkpigtails.com/About/HairIndustry
2,Future of Hairstyling,http://fashionista.com/2013/05/the-future-of-hair-styling-5-fancy-new-high-tech-tools-to-try/,Stephanie,Needs to be Written,About Hairstyling,http://www.pinkpigtails.com/About/FutureHair
3,Hair Styles,http://www.latest-hairstyles.com/,Stephanie,Needs to be Written,Services,http://www.pinkpigtails.com/Services/Hairstyles
4,Hair and Scalp Conditions,http://www.webmd.com/skin-problems-and-treatments/ss/slideshow-hair-conditions,Stephanie,Needs to be Written,Tools and Products,http://www.pinkpigtails.com/Tools/Retail/Hair+Scalp
5,Retail Products,http://www.redken.ca/,Stephanie,Needs to be Written,Tools and Products,http://www.pinkpigtails.com/Tools/Retail
6,Perms and Relaxers,http://hairaddiction.wordpress.com/2007/10/22/common-misconceptions-perm-vs-relaxer/,Stephanie,Needs to be Written,Services,http://www.pinkpigtails.com/Services/Perms+Relaxers
7,Hair Colouring (Highlights),http://en.wikipedia.org/wiki/Hair_highlighting,Stephanie,Needs to be Written,Services,http://www.pinkpigtails.com/Services/Haircolouring/Highlights
8,Hair Colouring (Funky Colours),http://www.funkyhairdye.co.nz/,Stephanie,Needs to be Written,Services,http://www.pinkpigtails.com/Services/Haircolouring/FunkyColours
9,Hair Extensions,http://en.wikipedia.org/wiki/Artificial_hair_integrations,Stephanie,Needs to be Written,Services,http://www.pinkpigtails.com/Services/HairExtensions
10,Up-Dos,http://www.babble.com/beauty/the-25-most-beautiful-easy-updos/the-25-most-beautiful-easy-updos/,Stephanie,Needs to be Written,Services,http://www.pinkpigtails.com/Services/Hairstyles/Updos
11,Cleaning the Salon,http://www.noexcusessafetytraining.com/courses/sanitation/SalonCL.pdf,Stephanie,Needs to be Written,Tools and Products,http://www.pinkpigtails.com/Tools/Tools+Trade/Cleaning
12,Mens Cuts,http://www.mens-hairstyle.com/25-trendy-mens-hairstyles.html,Stephanie,Needs to be Written,Services (Cuts),http://www.pinkpigtails.com/Services/HairCuts/Mens
13,Womens Cuts,http://beauty.about.com/od/hairbasics/a/flattering.htm,Stephanie,Needs to be Written,Services (Cuts),http://www.pinkpigtails.com/Services/HairCuts/Womens
14,Childrens Cuts,http://www.chiquicuts.com/,Stephanie,Needs to be Written,Services (Cuts),http://www.pinkpigtails.com/Services/HairCuts/Children
15,Tools of the Trade,http://en.wikipedia.org/wiki/Hairstyling_tool,Stephanie,Needs to be Written,Tools and Products,http://www.pinkpigtails.com/Tools/Tools+Trade
